Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1,1,-3,-3,1,1,0
1,2,0,-3,2,1,0
1,3,0,-3,4,1,0
1,4,-3,-6,2,1,0
1,5,0,-6,0,1,0
1,6,0,-6,3,1,0
1,7,0,-6,2,1,0
1,8,0,-6,2,1,0
1,9,0,-6,3,1,0
1,10,-13,-19,1,1,1
2,1,0,0,1,1,0
2,2,0,0,5,1,0
2,3,0,0,4,1,0
2,4,-3,-3,3,1,0
2,5,-3,-6,4,1,0
2,6,0,-6,1,1,0
2,7,-3,-9,0,1,0
2,8,-3,-12,4,1,0
2,9,0,-12,2,1,0
2,10,0,-12,4,1,0
2,11,-1,-13,0,1,0
2,12,0,-13,0,1,0
2,13,-1,-14,1,1,0
2,14,-1,-15,4,1,0
2,15,0,-15,3,1,0
2,16,-3,-18,3,1,0
2,17,0,-18,0,1,0
2,18,0,-18,2,1,0
2,19,-10,-28,1,1,1
3,1,-3,-3,5,1,0
3,2,-3,-6,5,1,0
3,3,0,-6,2,1,0
3,4,-3,-9,3,1,0
3,5,-3,-12,5,1,0
3,6,-1,-13,0,1,0
3,7,0,-13,0,1,0
3,8,-11,-24,0,1,1
4,1,0,0,3,1,0
4,2,-10,-10,0,1,1
5,1,-3,-3,0,1,0
5,2,-3,-6,5,1,0
5,3,0,-6,2,1,0
5,4,0,-6,5,1,0
5,5,0,-6,4,1,0
5,6,-13,-19,3,1,1
6,1,-1,-1,3,1,0
6,2,-3,-4,3,1,0
6,3,-1,-5,2,1,0
6,4,-11,-16,0,1,1
7,1,-3,-3,2,1,0
7,2,-3,-6,5,1,0
7,3,0,-6,1,1,0
7,4,0,-6,4,1,0
7,5,-1,-7,1,1,0
7,6,-1,-8,4,1,0
7,7,-1,-9,3,1,0
7,8,0,-9,1,1,0
7,9,-10,-19,3,1,1
8,1,0,0,0,1,0
8,2,-1,-1,3,1,0
8,3,0,-1,0,1,0
8,4,-1,-2,1,1,0
8,5,0,-2,2,1,0
8,6,0,-2,5,1,0
8,7,-10,-12,5,1,1
9,1,-10,-10,3,1,1
10,1,-1,-1,3,1,0
10,2,-1,-2,4,1,0
10,3,0,-2,0,1,0
10,4,0,-2,5,1,0
10,5,0,-2,0,1,0
10,6,0,-2,4,1,0
10,7,0,-2,0,1,0
10,8,-3,-5,3,1,0
10,9,-3,-8,5,1,0
10,10,0,-8,0,1,0
10,11,0,-8,0,1,0
10,12,-10,-18,5,1,1
11,1,0,0,0,1,0
11,2,0,0,2,1,0
11,3,0,0,1,1,0
11,4,0,0,0,1,0
11,5,0,0,3,1,0
11,6,0,0,2,1,0
11,7,0,0,4,1,0
11,8,0,0,4,1,0
11,9,0,0,3,1,0
11,10,0,0,5,1,0
11,11,0,0,0,1,0
11,12,0,0,1,1,0
11,13,0,0,4,1,0
11,14,0,0,5,1,0
11,15,0,0,1,1,0
11,16,0,0,2,1,0
